x,y,signallevel
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,75 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,70 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,70 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,78 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,75 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,74 
34.70650100708008,51.50117492675781,71 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,73 
34.70650100708008,51.50117492675781,72 
34.70650100708008,51.50117492675781,73 
34.711830139160156,51.54341125488281,75 
34.7261848449707,51.534278869628906,78 
34.728851318359375,51.53130340576172,78 
34.728851318359375,51.53130340576172,76 
34.84849166870117,51.44512939453125,79 
34.96755599975586,51.09181213378906,79 
35.532920837402344,51.4869499206543,84 
35.554595947265625,51.48554611206055,79 
70.60171508789062,50.81838607788086,80 
70.70357513427734,51.95101547241211,80 
70.68141174316406,54.206329345703125,80 
70.2962875366211,56.9434700012207,80 
70.50884246826172,60.20872116088867,80 
70.7988510131836,60.68170166015625,80 
70.81573486328125,60.63532257080078,80 
70.1839828491211,49.77241897583008,88 
39.39366912841797,39.572052001953125,80 
39.39360809326172,39.572052001953125,80 
32.62797546386719,44.811248779296875,79 
32.74723815917969,44.81431579589844,79 
33.075931549072266,44.80330276489258,79 
33.241798400878906,44.78757095336914,79 
33.0821647644043,44.835330963134766,78 
32.99714279174805,44.84571075439453,78 
33.29856491088867,44.86376190185547,82 
33.82280349731445,44.896602630615234,82 
33.97096633911133,44.912139892578125,76 
34.19865036010742,44.915794372558594,80 
34.34765625,44.9254035949707,80 
34.39639663696289,44.92913818359375,80 
34.39639663696289,44.92913818359375,74 
34.39639663696289,44.92913818359375,74 
34.39639663696289,44.92913818359375,73 
